text-input,output
You mustvvvvv report to the service any unauthorized use of your account or any breach of security,10
"Spidering, crawling, or accessing the site through any automated means is not allowed",20
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,50
You authorise the service to charge a credit card supplied on re-occurring basis,50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
This service allows you to retrieve an archive of your data,40
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
"The service may change its terms at any time, but the user will receive notification of the changes.",0
This service requires first-party cookies,10
This service holds onto content that you've deleted,30
The service informs users that its privacy policy does not apply to third party websites,10
Third parties used by the service are bound by confidentiality obligations,20
You can limit how your information is used by third-parties and the service,50
This service may use your personal information for marketing purposes,50
The service uses social media cookies/pixels,50
Blocking first party cookies may limit your ability to use the service,50
The service provides information about how they intend to use your personal data,30
This service collects your IP address for location use,0
You can opt out of promotional communications,10
This service can share your personal information to third parties ,70
The service provides information about how they collect personal data,50
The service reviews its privacy policy on a regular basis,30
The service will only respond to government requests that are reasonable,30
This service receives your location through GPS coordinates,45
Your profile is combined across various products,50
The service provides details about what kinds of personal information they collect,30
This service employs separate policies for different parts of the service,0
This service is only available to users over a certain age,15
Users agree not to use the service for illegal purposes,10
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
This service does not force users into binding arbitration,50
Any liability on behalf of the service is limited to $10 000,10
You waive your right to a class action.,50
This service can use your content for all their existing and future services,50
You maintain ownership of your content,50
You waive your moral rights,50
Third-party cookies are used for advertising,70
Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,0
You must create an account to use this service,25
"Certain features maybe unavailable, depending on when you opened an account",0
Your information is only shared with third parties when given specific consent,80
Your account can be closed for several reasons,15
"You will be notified about discontinuation of service(s), unless not possible",30
Two months of notice are given before closing your account,15
You have the right to leave this service at any time,15
Your data may be processed and stored anywhere in the world,25
You must provide your identifiable information,80
"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",40
There is a date of the last update of the agreements,50
You are responsible for maintaining the security of your account and for the activities on your account,10
Your data may be processed and stored anywhere in the world,25
Blocking cookies may limit your ability to use the service,50
Third parties may be involved in operating the service,0
Your biometric data is collected,30
The service uses your personal data to employ targeted third-party advertising,40
You can request access and deletion of personal data,50
This service uses third-party cookies for statistics,10
This service gathers information about you through third parties,50
The service collects many different types of personal data,70
This service may keep personal data after a request for erasure for business interests or legal obligations,70
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
This service still tracks you even if you opted out from tracking,30
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
The terms for this service are easy to read and include plain language summaries,15
This service is only available to users of a certain age,15
Users agree to comply with the law of the service's country,0
They may stop providing the service at any time,40
Third parties may be involved in operating the service,0
The service warns you of the potential consequences related to third-party access,30
The service does not guarantee accuracy or reliability of the information provided,10
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,50
This service forces users into binding arbitration in the case of disputes,50
You cannot distribute or disclose your account to third parties,10
The service warns you of the potential consequences related to third-party access,30
"You agree not to submit libelous, harassing or threatening content",20
Sensitive data is collected and shared to target advertising,50
Your personal data is not sold,25
This service informs you that its Terms of Service does not apply to third party websites,10
There is a date of the last update of the agreements,50
You are forced into binding arbitration in case of disputes,50
This service gives your personal data to third parties involved in its operation,35
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",50
This service reserves the right to disclose your personal information without notifying you,50
Information is provided about how they collect personal data,50
Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,0
" Terms may be changed any time at their discretion, without notice to you ",70
Information is gathered about you through third parties,50
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,50
This service tracks you on other websites,60
"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",40
Some personal data may be kept for business interests or legal obligations,70
Blocking first party cookies may limit your ability to use the service,50
Your personal data is aggregated into statistics,10
This service is only available to users over a certain age,15
"Your IP address is collected, which can be used to view your approximate location",0
Your personal information is used for many different purposes,40
You are responsible for maintaining the security of your account and for the activities on your account,10
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
You waive your right to a class action.,50
"You should revisit the terms periodically, although in case of material changes, the service will notify",50
Your content can be licensed to third parties,50
Your use is throttled,30
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",50
They may stop providing the service at any time,40
You must report to the service any unauthorized use of your account or any breach of security,10
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",50
Your personal data is not sold,25
"If you are the target of a copyright claim, your content may be removed",15
The service is provided 'as is' and to be used at your sole risk,20
This service does not guarantee that it or the products obtained through it meet your expectations or requirements,0
This service reserves the right to disclose your personal information without notifying you,50
Your content can be distributed through any media ,50
The service has non-exclusive use of your content,10
This service receives your precise location through GPS coordinates,45
Third-party cookies are used for statistics,10
Instructions are provided on how to submit a copyright claim,10
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
"Your IP address is collected, which can be used to view your approximate location",0
Your personal data is aggregated into statistics,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service does not condone any ideas contained in its user-generated contents,35
Third parties used by the service are bound by confidentiality obligations,20
Your data may be processed and stored anywhere in the world,25
Details are provided about what kind of information they collect,30
Information is provided about how your personal data is used,30
This service shares your personal data with third parties that are not essential to its operation,70
Third parties are involved in operating the service,0
There is a date of the last update of the agreements,50
You can opt out of promotional communications,10
You are informed about the risk of publishing personal info online,40
"The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (California, USA)",50
This service gives your personal data to third parties involved in its operation,35
You maintain ownership of your content,50
You are responsible for maintaining the security of your account and for the activities on your account,10
Third-party cookies are used for advertising,70
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
"You must provide your legal name, pseudonyms are not allowed",20
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
Apple.com has an age restriction of 13 years,15
"Apple.com can suspend the Site whenever they want, for any reason",40
The service gives 30 days of notice before closing your account,15
You have the right to leave this service at any time,15
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,50
Your data may be processed and stored anywhere in the world,25
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
Users agree to comply with the law of the service's country,0
"The service may change its terms at any time, but the user will receive notification of the changes.",0
This service may use your personal information for marketing purposes,50
Blocking first party cookies may limit your ability to use the service,50
Apple provides an opt-out method for Apple targeted advertising,25
There is a date of the last update of the agreements,50
The service is provided 'as is' and to be used at the users' sole risk,20
Any liability on behalf of the service is only limited to $ 50.00,10
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
Many different types of personal data are collected,70
This service tracks which web page referred you to it,50
"This service may collect, use, and share location data",75
You maintain ownership of your content,50
The service has non-exclusive use of your content,10
Content you post may be edited by the service for any reason,70
They may stop providing the service at any time,40
Your personal data is not sold,25
This service reserves the right to disclose your personal information without notifying you,50
Third parties used by the service are bound by confidentiality obligations,20
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,50
This service gives your personal data to third parties involved in its operation,35
Tracking pixels are used in service-to-user communication,5
Your personal data is used for advertising,30
Information is provided about security practices,15
 The service is only available in some countries approved by its government,20
Voice data is collected and shared with third-parties,50
This service assumes no responsibility and liability for the contents of links to other websites,50
"The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (California, USA)",50
You are informed about the risk of publishing personal info online,40
"Spidering, crawling, or accessing the site through any automated means is not allowed",20
" Terms may be changed any time at their discretion, without notice to the user ",70
"The court of law governing the terms is in Santa Clara County, California",0
The service can suspend your account for several reasons,15
You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,40
You can request access and deletion of personal data,50
"When the service wants to change its terms, users are notified a month or more in advance",40
The service can delete specific content without reason and may do it without prior notice,50
This service keeps a license on user-generated content even after users close their accounts.,50
This service forces users into binding arbitration in the case of disputes,50
You authorise the service to charge a credit card supplied on re-occurring basis,50
"This service collects your IP address, which can be used to view your approximate location",0
"User-generated content is encrypted, and this service cannot decrypt it",50
Users shall not interfere with another person's enjoyment of the service,25
You maintain ownership of your content,50
This service may keep personal data after a request for erasure for business interests or legal obligations,70
The user is informed about security practices,15
"The service may keep a secure, anonymized record of users' data for analytical purposes even after the data retention period",40
There is a date of the last update of the agreements,50
This service allows you to retrieve an archive of your data,40
Your personal data is not sold,25
This service has a no refund policy with some exceptions,40
You are responsible for maintaining the security of your account and for the activities on your account,10
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
You cannot distribute or disclose your account to third parties,10
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages.",25
"Users agree not to submit libelous, harassing or threatening content",20
Prohibits the posting of pornographic content,15
"Spidering, crawling, or accessing the site through any automated means is not allowed",20
This service assumes no liability for unauthorized access to your personal information,30
Features of the website are made available under a free software license,90
Any liability on behalf of the service is only limited to the fees you paid as a user,10
Provides instructions on how to submit a copyright claim,10
Many third parties are involved in operating the service,50
"If you are the target of a copyright claim, your content may be removed",15
You have the right to leave this service at any time,15
They may stop providing the service at any time,40
The service is provided 'as is' and to be used at the users' sole risk,20
The service does not guarantee accuracy or reliability of the information provided,10
Tracking pixels are used in service-to-user communication,5
The service may use web beacons and device fingerprinting on users.,50
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
You are solely responsible for claims made against the service and agree to indemnify the service.,40
This service reserves the right to disclose your personal information without notifying you,50
You can opt out of promotional communications,10
The court of law governing the terms is in New Zealand,0
Blocking first party cookies may limit your ability to use the service,50
User accounts can be terminated after having been in breach of the terms of service repeatedly,50
Copyright license limited for the purposes of that same service,15
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
"When the service wants to change its terms, users are notified a week or more in advance.",15
The service can suspend your account for several reasons,15
"You can request access, correction and/or deletion of your data",50
This service prohibits users from attempting to gain unauthorized access to other computer systems,20
This service may use your personal information for marketing purposes,50
"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",20
This service requires first-party cookies,10
Tracking via third-party cookies for advertising,70
Many different types of personal data are collected,70
You can retrieve an archive of your data,40
This service tracks you on other websites,60
 You are being tracked via social media cookies/pixels,50
This service tracks which web page referred you to it,50
Blocking first party cookies may limit your ability to use the service,50
Your personal data is aggregated into statistics,10
"You can request access, correction and deletion of your data",50
"Your IP address is collected, which can be used to view your approximate location",0
The data retention period is kept to the minimum necessary for fulfilling its purposes,50
Your personal data may be used for marketing purposes,50
Many third parties are involved in operating the service,50
You can opt out of promotional communications,10
Your personal data is used to employ targeted third-party advertising,40
Your personal data is used for advertising,30
This service gives your personal data to third parties involved in its operation,35
This service shares your personal data with third parties that are not essential to its operation,70
"Prices and fees may be changed at any time, without notice to you",80
Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,0
"You should revisit the terms periodically, although in case of material changes, the service will notify",50
You authorise the service to charge a credit card supplied on re-occurring basis,50
There is a date of the last update of the agreements,50
Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,60
Information is provided about how your personal data is used,30
Details are provided about what kind of information they collect,30
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (Belgium),50
Third-party cookies are used for advertising,70
"This service may collect, use, and share location data",75
You are not allowed to use a nick name,10
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
The copyright license on user data is broader than necessary,50
Couchsurfing may share aggregated or anonymized information that does not directly identify you.,10
This service does not condone any ideas contained in its user-generated contents,35
You must create an account to use this service,25
There is a date of the last update of the agreements,50
This service is only available to users over 18.,15
Third parties are involved in operating the service,0
Users agree not to use the service for illegal purposes,10
Prohibits the posting of pornographic content,15
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
Prohibits political discussions or campaigning,30
This service does not allow alternative accounts,30
Prohibits public posting of private messages,50
Users shall not interfere with another person's enjoyment of the service,25
The service can read your private messages,70
The service provides information about how they intend to use your personal data,30
This service receives your location through GPS coordinates,45
This service gathers information about you through third parties,50
Couchsurfing informs you about the fact that you can disable cookies,5
This service forces users into binding arbitration in the case of disputes,50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
The service can delete specific content without prior notice and without a reason,50
You cannot blame CouchSurfing for disputes you have with other users,0
" Terms may be changed any time at their discretion, without notice to the user ",70
Couchsurfing becomes the owner of ideas you give them,50
Couchsurfing may retain your data after deactivation for legitimate business purposes,25
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages",25
You can opt out of promotional communications,10
This service uses third-party cookies for statistics,10
You should follow the community guidelines,0
Couchsurfing may close your account at their sole discretion,60
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,20
You are responsible for maintaining the security of your account and for the activities on your account,10
"Users agree not to submit libelous, harassing or threatening content",20
This service prohibits users from attempting to gain unauthorized access to other computer systems,20
The service provides details about what kinds of personal information they collect,30
The service collects many different types of personal data,70
"Couchsurfing keeps the license on your content, even after you close your account",50
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
You can opt out of targeted advertising,25
Blocking first party cookies may limit your ability to use the service,50
This service can license user content to third parties,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
"When the service wants to make a material change to its terms, users are notified at least 30 days in advance",40
This service may keep personal data after a request for erasure for business interests or legal obligations,70
This service reserves the right to disclose your personal information without notifying you,50
This service forces users into binding arbitration in the case of disputes,50
This service allows you to retrieve an archive of your data,40
You waive your right to a class action.,50
This service uses third-party cookies for statistics,10
This service tracks which web page referred you to it,50
This service tracks you on other websites,60
The service may collect extra data about you through promotions,50
"The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (California, USA)",50
There is a date of the last update of the agreements,50
The court of law governing the terms is State of California (U.S.),0
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service keeps a license on user-generated content even after users close their accounts.,50
Tracking via third-party cookies for purposes including advertising,70
The service may sell your data unless you opt out,60
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
The service reviews its privacy policy on a regular basis,30
This service gathers information about you through third parties,50
The ToS are only translated into a few languages,0
The service uses your personal data for advertising,30
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
Voice data is collected and shared with third-parties,50
Your account can be deleted without prior notice and without a reason,60
You are responsible for maintaining the security of your account and for the activities on your account,10
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
The service claims to be CCPA compliant for California users,20
The service will only respond to government requests that are reasonable,30
This service is only available to users over a certain age,15
Blocking first party cookies may limit your ability to use the service,50
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
You have the right to leave this service at any time,15
You can request access and deletion of personal data,50
Your profile is combined across various products,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
"This service may collect, use, and share location data",75
You can opt out of promotional communications,10
This service receives your precise location through GPS coordinates,45
The service uses your personal data for advertising,30
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
The service does not guarantee accuracy or reliability of the information provided,10
You are responsible for maintaining the security of your account and for the activities on your account,10
The service will not allow third parties to access your personal information without a legal basis,50
The service can suspend your account for several reasons,15
This service gathers information about you through third parties,50
Tracking pixels are used in service-to-user communication,5
The service collects many different types of personal data,70
The service claims to be GDPR compliant for European users,20
The service is provided 'as is' and to be used at the users' sole risk,20
 Pseudonyms are allowed,20
Usernames can be rejected or changed for any reason,20
Minors must have the authorization of their legal guardians to use the service,0
Third-party cookies are used for statistics,10
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
You must provide your identifiable information,80
This service uses your personal information for many different purposes,40
This service uses third-party cookies for statistics,10
Blocking first party cookies may limit your ability to use the service,50
Third parties may be involved in operating the service,0
Third parties used by the service are bound by confidentiality obligations,20
The service provides details about what kinds of personal information they collect,30
This service requires first-party cookies,10
This service is only available to users over a certain age,15
They may stop providing the service at any time,40
The service is provided 'as is' and to be used at the users' sole risk,20
This service does not condone any ideas contained in its user-generated contents,35
This service is only available for use individually and non-commercially.,25
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
The service does not guarantee accuracy or reliability of the information provided,10
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service may use your personal information for marketing purposes,50
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service cannot be held responsible for disputes that you may have with other users,0
You waive your right to a class action.,50
Users have a reduced time period to take legal action against the service,50
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
The service can delete your account without prior notice and without a reason,60
Your personal data is given to third parties,35
You cannot distribute or disclose your account to third parties,10
"If you are the target of a copyright claim, your content may be removed",15
Users agree to comply with the law of the service's country,0
The service informs users that its privacy policy does not apply to third party websites,10
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
"This service collects your IP address, which can be used to view your approximate location",0
Provides instructions on how to submit a copyright claim,10
"When the service wants to make a material change to its terms, users are notified at least 30 days in advance",40
This service forces users into binding arbitration in the case of disputes,50
The service will not allow third parties to access your personal information without a legal basis,50
Usernames can be rejected for any reason,20
This service uses third-party cookies for statistics,10
The service informs users that its privacy policy does not apply to third party websites,10
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
This service does not sell your personal data,25
This service requires first-party cookies,10
The service collects many different types of personal data,70
The service uses social media cookies/pixels,50
This service tracks you on other websites,60
The service can read your private messages,70
The service provides information about how they intend to use your personal data,30
This service is only available to users over a certain age,15
Instagram shares information with many third parties,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
You can request access and deletion of personal data,50
This service gathers information about you through third parties,50
Your identity is used in ads that are shown to other users,90
The service can suspend your account for several reasons,15
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
Very broad copyright license on your content,80
Instagram Court of law is California,0
You waive your right to a class action,50
Tracking via third-party cookies for other purposes without your consent.,70
This service can delete your content if you violate the terms,50
The service provides a free help desk,10
The service refers users to external documents for more information,10
This service may use your personal information for marketing purposes,50
Your biometric data is collected,30
You cannot distribute or disclose your account to third parties,10
You can limit how your information is used by third-parties and the service,50
You can choose with whom you share content,0
This service keeps user logs for an undefined period of time,100
This service can share your personal information to third parties ,70
You have the right to leave this service at any time,15
This service uses your personal information for many different purposes,40
They may stop providing the service at any time,40
This service holds onto content that you've deleted,30
They store data on you even if you did not interact with the service,100
Your data may be processed and stored anywhere in the world,25
Users agree not to use the service for illegal purposes,10
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",50
Any liability on behalf of the service is only limited to the fees you paid as a user,10
The service uses your personal data to employ targeted third-party advertising,40
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
This service does not condone any ideas contained in its user-generated contents,35
Prohibits the posting of pornographic content,15
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
The service provides details about what kinds of personal information they collect,30
"Users agree not to submit libelous, harassing or threatening content",20
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,20
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages",25
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service allows you to retrieve an archive of your data,40
This service forces users into binding arbitration in the case of disputes,50
The service is provided 'as is' and to be used at the users' sole risk,20
Provides instructions on how to submit a copyright claim,10
You maintain ownership of your content,50
There is a date of the last update of the agreements,50
This service is a subsidiary of Facebook,10
Your profile is combined across various products,50
Users who have been permanently banned from this service are not allowed to re-register under a new account,20
Your personal data is aggregated into statistics,10
Blocking first party cookies may limit your ability to use the service,50
"Terms may be changed at their discretion, but they will notify you before.",15
This service collects your IP address for location use,0
The service informs users about the risk of publishing personal info online,40
"This service may collect, use, and share location data",75
"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",10
"defend, indemnify, hold harmless; survives termination",35
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
This service may keep personal data after a request for erasure for business interests or legal obligations,70
The service will only respond to government requests that are reasonable,30
Facebook collects a lot of device information through the Instagram App.,80
You must provide your identifiable information,80
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
"Other applicable rules, terms, conditions or guidelines",0
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
You are responsible for maintaining the security of your account and for the activities on your account,10
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,50
"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",50
Third-party cookies are used for statistics,10
"You must provide your legal name, pseudonyms are not allowed",20
The service can delete your account  without a reason,60
Your data is processed and stored in a country that is less friendly to user privacy protection,50
This service reserves the right to disclose your personal information without notifying you,50
" Terms may be changed any time at their discretion, without notice to the user ",70
You can opt out of promotional communications,10
"Your IP address is collected, which can be used to view your approximate location",0
This service tracks which web page referred you to it,50
You must report to the service any unauthorized use of your account or any breach of security,10
Tracking via third-party cookies for other purposes without your consent.,70
Your profile is combined across various products,50
The service is provided 'as is' and to be used at your sole risk,20
The service uses social media cookies/pixels,50
You waive your right to a class action.,50
The service notice you before closing your account,15
"You can request access, correction and/or deletion of your data",50
There is a date of the last update of the agreements,50
This service is only available to users over 13 years of age,15
" Terms may be changed any time at their discretion, without notice to the user ",70
You have the right to leave this service at any time,15
This service does not condone any ideas contained in its user-generated contents,35
The service uses your personal data for advertising,30
Provides instructions on how to submit a copyright claim,10
"The court of law governing the terms is in a jurisdiction (Nevada, USA) that is less friendly to user privacy protection ",50
Content removal from the service will be fair and proportionate.,20
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
This service can delete your content if you violate the terms,50
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
Prohibits the publishing of personally identifiable information without the owner’s consent,0
You can choose with whom you share content,0
The service provides a free help desk,10
The service provides details about what kinds of personal information they collect,30
Blocking first party cookies may limit your ability to use the service,50
The service is provided 'as is' and to be used at the users' sole risk,20
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages.",25
Any liability on behalf of the service is only limited to the fees you paid as a user or $200,10
"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",25
This service reserves the right to disclose your personal information without notifying you,50
This service does not force users into binding arbitration,50
"Users can scrape the site, as long as it doesn't impact the server too much",50
The service may use tracking pixels and device fingerprinting on users.,50
Promises will be kept after a merger or acquisition,50
You maintain ownership of your content,50
User accounts can be terminated after having been in breach of the terms of service repeatedly,50
Copyright license limited for the purposes of that same service but transferable and sublicenseable,15
Your personal data is not sold,25
"This service collects your IP address, which can be used to view your approximate location",0
You must provide your identifiable information,80
Your data is processed and stored in a country that is less friendly to user privacy protection (USA),50
The service has non-exclusive use of your content,10
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
You can opt out of promotional communications,10
"If you are the target of a copyright claim, your content may be removed",15
The service provides information about how they intend to use your personal data,30
The service allows you to use pseudonyms,20
"You cannot delete your contributions, but it makes sense for this service",20
The user is informed about security practices,15
Your personal data is not sold,25
You have the right to leave this service at any time,15
No third-party analytics or tracking platforms are used,25
First-party cookies are used,10
This service provides information on their security practices regarding passwords,15
"Using the service, you acknowledge that reading ToS;DR is in no way a replacement for reading the full terms to which you are bound",10
The service is provided 'as is' and to be used at the users' sole risk,20
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
" Terms may be changed any time at their discretion, without notice to the user ",70
The service does not guarantee accuracy or reliability of the information provided,10
